boys_name,last_name,street_address,town,zip ,math_score,ela_score,total_score,Column1,choice_1,choice_2,choice_3,choice_4
Issac,Barron,5 Huntersville Avenue,Eastern Plateau,72440,467,453,920,,Western Ocean Secondary,West Ocean Secondary,Western Ridge High,Central Terrace Secondary
Eli,Reeves,342 La Crosse Boulevard,Western Plateau,72430,456,464,920,,Main River College,Northern Bay Senior,Western Bayou High,North Bay High
Bobby,Mason,759 Hanford Street,South Plateau,72360,446,474,920,,West Bayou Senior,Main Plateau College,South Delta Secondary,Central Terrace Junior-Sec
Jamarcus,Coleman,341 Columbia Drive,Main Terrace,72397,530,389,919,,Northern River Senior,South Valley Senior,Northern View Junior-Sec,Main Plateau College
Graham,Richards,332 Arden-Arcade Lane,West River,72368,513,406,919,,Main Valley Senior,South Delta Secondary,North Bay High,Northern River Senior
Alvin,Church,171 Wausau Drive,Eastern Terrace,72437,480,439,919,,Northern Valley Senior,North Bayou High,Central Ridge Composite,Central Ridge Senior
Branden,Maxwell,639 Columbus Court,Central River,72388,479,440,919,,Main Terrace Senior,North Plateau Secondary,South Ocean High,Main Delta Senior
Raul,Solomon,761 Quincy Lane,Eastern Ocean,72441,478,441,919,,South View Composite,Eastern Bayou Junior-Sec,Eastern Plateau Senior,North Bay High
Adam,Jensen,42 Atascocita Avenue,North Ridge,72349,434,485,919,,East Valley Senior,Central Ridge Composite,Main Terrace Senior,Eastern Plateau Junior-Sec
Mathias,Cline,481 Palatine Drive,Eastern Ridge,72439,546,372,918,,Main Plateau Composite,Main Ridge College,Southern Plateau Secondary,Western Ridge High
Alvin,Newton,130 Cupertino Court,Western View,72425,494,424,918,,East Valley Senior,North Bay High,Main Bayou College,Northern Bayou High
Raul,Smith,764 Hanover Place,West Bay,72374,487,431,918,,West Ocean Secondary,Main Plateau Composite,Northern Delta Senior,North Plateau Secondary
Ricardo,Werner,746 Utica Street,East Plateau,72380,479,439,918,,Eastern Ocean Secondary,South River High,Eastern Ocean College,Eastern Bayou Junior-Sec
Tony,Park,783 Passaic Boulevard,Western Bay,72434,463,455,918,,East Ocean Senior,Northern Terrace High,North Bay High,North-West Ocean Senior
Issac,Werner,819 Shoreline Boulevard,North Ridge,72349,463,455,918,,Northern Terrace High,East Bayou College,Eastern Bayou Secondary,Western Ocean Secondary
Derick,Burnett,838 Melbourne Avenue,Main Ridge,72399,455,463,918,,Western Delta Secondary,Central Terrace Junior-Sec,Eastern Bayou Secondary,Southern Bay College
Deshawn,Good,231 Taunton Avenue,South Terrace,72357,452,466,918,,South River Junior-Sec,West Bayou Senior,Northern Bay College,South Valley Senior
Connor,Owens,1 Pompano Beach Street,Central Delta,72392,452,466,918,,East-Central View Composite,Central Terrace Secondary,Main Plateau Composite,West Ocean Senior
Juan,Clarke,464 Hempstead Street,North Delta,72352,434,484,918,,East Ocean Secondary,Western Ocean Secondary,Western Delta Junior-Sec,Western Delta Secondary
Jensen,Cox,979 Kingsport Street,West Bayou,72373,428,490,918,,Central-North View High,Main Delta Composite,Southern Ocean High,Central Ridge Senior
Mathias,Solis,436 Newark Road,Central River,72388,425,493,918,,Northern Ocean Secondary,Eastern Bayou Secondary,Main Terrace Senior,Central Ridge Senior
Brenden,Benitez,992 Carlsbad Boulevard,Northern Bayou,72413,545,372,917,,Southern Ridge Secondary,East Bayou College,East Bayou High,North Bayou High
Karter,Henry,860 Albany Road,Eastern Ocean,72441,508,409,917,,Southern Plateau Secondary,North Bay High,Eastern View High,North-West Ocean Senior
Tony,Vincent,408 Holland Road,North Ridge,72349,499,418,917,,East Ocean Secondary,South River High,East Bayou College,Southern Ridge Secondary
Kevin,Zimmerman,203 Coeur d'Alene Lane,Western Bayou,72433,473,444,917,,Main Bayou College,Main Delta Senior,West Bayou Senior,Northern Bayou High
Lorenzo,Webb,294 South Hill Street,Main Ridge,72399,463,454,917,,East Bayou College,Main Delta Senior,Eastern Ocean Secondary,Central Terrace Secondary
Malcolm,Shea,507 Newport Beach Place,Main Ridge,72399,515,401,916,,Eastern Bayou Secondary,Main Valley Senior,Southern Ocean High,South Delta Secondary
Jamarcus,Leach,885 Ponce Avenue,Eastern Ridge,72439,513,403,916,,Eastern River Secondary,West Valley High,North Terrace High,Eastern View Composite
Connor,Gibbs,659 North Richland Hills Boulevard,Southern Ocean,72421,503,413,916,,South Ocean High,South View Composite,South River High,Central Terrace Junior-Sec
Jayden,Flynn,572 Bayonne Court,North River,72348,488,428,916,,South Ocean High,North Bay High,Eastern View Composite,Main Delta Composite
Dayton,Gray,566 Apex Lane,South River,72358,453,463,916,,Main Delta Senior,Northern River Senior,West Bayou Senior,Main Ridge College
Stephen,Solis,496 San Tan Valley Road,Eastern Valley,72436,516,399,915,,Western Ocean Secondary,Southern Plateau Secondary,East Bayou High,South Delta Secondary
Deandre,Schwartz,859 Norman Place,Western Bay,72434,510,405,915,,Southern Plateau Secondary,Main Delta Senior,Southern Bay College,Central-North View High
Kody,Lane,244 Boca Raton Avenue,North View,72345,477,438,915,,South Valley Senior,West Ocean Secondary,Northern Bayou High,Main Ridge College
Camryn,Potter,439 Albany Road,South Bayou,72363,450,465,915,,Northern Delta Senior,Central-North View High,Main Ridge College,East Terrace Senior
Larry,Freeman,91 Lynn Avenue,Western Ocean,72431,440,475,915,,Central Plateau Secondary,Eastern Ocean Secondary,East Valley Senior,Western Plateau Secondary
Theodore,Gentry,60 Hacienda Heights Avenue,East Ocean,72381,436,479,915,,East Ocean Senior,Northern Delta Senior,Eastern Ocean College,Southern Ocean High
Maddox,Rivas,352 Decatur Avenue,Central Delta,72392,429,486,915,,Eastern View High,Western Ridge High,Central Terrace Junior-Sec,Eastern Ocean College
Konner,Pugh,479 Poinciana Boulevard,Central Bay,72394,489,425,914,,North Valley Junior-Sec,East Valley High,Northern Delta Senior,Southern Terrace Senior
Alden,Garrett,243 Waldorf Road,Main Plateau,72400,547,367,914,,Eastern Valley Junior-Sec,North Terrace High,North Valley Junior-Sec,South Plateau Secondary
Davion,Sparks,709 Buckeye Drive,Southern Valley,72416,536,378,914,,North Plateau Secondary,Southern Ridge Secondary,Western Ocean Secondary,Eastern Bayou Junior-Sec
Avery,Callahan,323 Sheboygan Lane,Western Valley,72426,514,400,914,,Northern Terrace High,Main Ridge College,Main Terrace Senior,West Ocean Senior
Caiden,Gillespie,103 Port Orange Lane,Southern Plateau,72420,503,411,914,,Western Delta Junior-Sec,Main Delta Composite,Main Terrace Senior,Central Terrace Junior-Sec
Kolby,Williams,512 Orem Avenue,East Ocean,72381,503,411,914,,Northern Valley Senior,East Terrace Senior,Central Ridge Composite,Main Plateau Composite
Leandro,Smith,701 Owensboro Boulevard,Main Valley,72396,469,445,914,,East Valley High,West Ocean Secondary,Eastern View High,Main Ridge College
Leandro,Clay,244 Allen Court,Eastern Bay,72444,426,488,914,,North Terrace High,Main Delta Composite,Main Ridge College,East River Senior
Ernest,Gay,40 Bristol Street,Northern Ocean,72411,421,493,914,,Southern Ridge Secondary,Northern Terrace High,Eastern Terrace Secondary,Northern View Junior-Sec
Kolby,Liu,861 Prescott Valley Road,Northern Ocean,72411,415,499,914,,North-West Ocean Senior,South Ocean High,Western Delta Junior-Sec,Central-North View High
Alvin,Mason,290 Bozeman Court,Central Ocean,72391,528,385,913,,South View Composite,Central Plateau Secondary,Central Ridge Senior,Western Ridge High
Gauge,Shannon,906 Dearborn Avenue,North Ocean,72351,520,393,913,,Main River College,Northern Bayou High,Southern Terrace Senior,Northern River Senior
Jakobe,Gonzalez,684 Lawton Street,Western Plateau,72430,514,399,913,,Main Terrace College,East Ocean Senior,West Valley High,Main Ridge College
Easton,Werner,200 San Marcos Lane,Eastern River,72438,513,400,913,,South Valley Senior,Eastern Ocean College,Main Ridge College,Central Terrace Secondary
Kenny,Berger,581 Mountain View Street,East Ridge,72379,503,410,913,,Northern Delta Senior,Southern Ocean High,South Ridge High,East Terrace Senior
Tomas,Pope,179 Lawton Street,Central Terrace,72387,501,412,913,,Main Plateau Composite,Main Terrace Senior,Northern View Junior-Sec,South Plateau Secondary
Benjamin,Fernandez,694 Carson City Avenue,Southern River,72418,498,415,913,,North Plateau Secondary,Western Bayou High,East Ocean Senior,West Ocean Senior
Bryan,Morrow,391 Brandon Avenue,North Bay,72354,495,418,913,,North-West Ocean Senior,Eastern Valley Junior-Sec,Main Terrace Senior,Western Delta Junior-Sec
Davion,Mccall,906 Midwest City Court,Eastern Bay,72444,479,434,913,,Western Delta Secondary,West Ocean Secondary,Northern Ocean Secondary,Main Delta Composite
Terry,Cain,344 Lakewood Boulevard,Main Valley,72396,447,466,913,,East-Central View Composite,Main River College,North Bayou High,Western Delta Junior-Sec
Enzo,Miller,135 Boulder Street,Central River,72388,550,362,912,,Main Delta Composite,Main Plateau College,Northern River Senior,Northern Delta Senior
Harrison,Perkins,348 Elyria Drive,North River,72348,484,428,912,,Main Plateau College,Main Terrace Secondary,Main Ridge College,Main Terrace College
Chad,Yu,488 Hempstead Lane,Central River,72388,483,429,912,,East Ocean Secondary,West Bayou Senior,Northern Bayou High,Main Delta Composite
Leo,Osborne,253 Ames Street,West Terrace,72367,446,466,912,,Eastern Ocean College,Central Bay Secondary,Eastern Valley Junior-Sec,Northern Delta Senior
Alberto,Solis,162 Springfield Boulevard,Western Bay,72434,441,471,912,,Main Ridge College,Eastern Plateau Senior,South Ocean High,East-Central View Composite
Cael,Irwin,415 Bristol Court,Eastern Terrace,72437,430,482,912,,Eastern River Secondary,Southern Ridge Secondary,Eastern View High,East Ocean Secondary
Alvin,Hodges,122 Encinitas Avenue,Western Terrace,72427,429,483,912,,Eastern Ocean College,Southern Bay College,North Terrace High,East Bayou College
Kane,Sanford,945 Haverhill Street,Eastern Valley,72436,429,483,912,,Eastern Valley Junior-Sec,North Ridge High,South Valley Senior,North Bayou High
Aditya,Shields,472 Duluth Court,Northern Ridge,72409,416,496,912,,Main Bayou College,Southern Bayou Composite,Main Terrace Senior,South Ocean High
Gianni,Freeman,130 Parkersburg Drive,South Ocean,72361,549,362,911,,East Terrace Senior,North Bay College,Central Ridge Composite,West Ocean Senior
Kane,Levine,653 Sumter Drive,Western View,72425,527,384,911,,South Valley Senior,Eastern View High,Southern Ocean High,Northern View Junior-Sec
Leonidas,Sloan,934 Davis Road,Eastern Ridge,72439,516,395,911,,South View Composite,South Ocean High,Main Ridge College,East Valley Senior
Hector,Cuevas,271 Pinellas Park Lane,Main Ridge,72399,503,408,911,,Main Delta Composite,Western Ridge High,Southern Ridge Secondary,Southern Terrace Senior
Ernest,Ryan,639 Lakewood Road,Southern Bayou,72423,496,415,911,,Eastern River Secondary,Northern Delta Senior,Main Terrace College,Eastern View High
Maddox,Macias,229 Sioux City Road,Southern View,72415,496,415,911,,East Ocean Senior,East Terrace Senior,Main Terrace Secondary,Main Valley Senior
Ishaan,Osborne,427 Orem Lane,Eastern Ridge,72439,480,431,911,,Eastern Valley Junior-Sec,South Ocean High,Main Valley Senior,South View Composite
Skylar,Atkins,844 Goldsboro Drive,North River,72348,455,456,911,,Main Plateau College,Eastern Ocean College,Western Bayou High,East Bayou College
Hector,Bray,916 Kettering Place,Eastern Ocean,72441,449,462,911,,South Valley Senior,Southern Ocean High,Main Ridge College,South River High
Makai,Johns,658 Encinitas Place,West Bayou,72373,436,475,911,,South Delta Secondary,Central Ridge Composite,Western Ocean Secondary,East Terrace Senior
Grayson,Cobb,362 Albany Road,Central Ocean,72391,538,372,910,,Main Bayou College,Main River College,Main Terrace College,Western Ocean Secondary
Gregory,Cuevas,763 Grand Forks Place,West Bayou,72373,530,380,910,,Main Valley Senior,Main Terrace Senior,Main Plateau Composite,East Ocean Secondary
Kristian,Mullins,608 Gaithersburg Road,Southern Valley,72416,528,382,910,,East Bayou High,Southern Bay College,North Bay College,East Terrace Senior
Anton,Travis,99 Quincy Court,Eastern View,72435,527,383,910,,Eastern Bayou Secondary,Southern Bay College,East Bayou High,Central Terrace Junior-Sec
Jamarcus,Williams,848 Petaluma Lane,Eastern River,72438,521,389,910,,Northern Delta Senior,Northern River Senior,North-West Ocean Senior,Main Bayou College
Colt,Gilmore,732 El Paso de Robles Place,Southern View,72415,511,399,910,,Eastern Bayou Secondary,Western Ocean Secondary,Central Ridge Composite,North Valley Junior-Sec
Mike,Newman,437 Fond du Lac Street,Eastern Plateau,72440,497,413,910,,Main Valley Senior,Central Terrace Secondary,North Valley Junior-Sec,North-West Ocean Senior
Marquise,Schultz,575 Delano Avenue,Main View,72395,458,452,910,,Main Plateau College,Northern Delta Senior,Eastern Ocean Secondary,Main Plateau Composite
Kadyn,Pineda,31 The Villages Road,South Delta,72362,431,479,910,,Northern Bay College,North Bay College,East Bayou High,Main Terrace College
Skylar,Stark,643 Newton Boulevard,Northern Ocean,72411,430,480,910,,North Valley Junior-Sec,Eastern View Composite,Central Terrace Secondary,North Bayou High
London,Fisher,510 Bradenton Lane,Eastern Ridge,72439,525,384,909,,Northern River Senior,South Valley Senior,South Ridge High,Eastern Plateau Junior-Sec
Graham,Rivera,833 Clifton Court,South Terrace,72357,498,411,909,,Central-North View High,East Valley High,Main Bayou College,Southern Bayou Composite
Lorenzo,Figueroa,781 Westland Avenue,Eastern Terrace,72437,451,458,909,,Main Terrace College,Main River College,North Valley Junior-Sec,West Bayou Senior
Luka,Bowen,38 Williamsburg Place,Northern Ridge,72409,424,485,909,,Northern River Senior,Central Terrace Junior-Sec,Northern Delta Senior,Main Bayou College
Frankie,Abbott,749 Silver Spring Avenue,West Valley,72366,413,496,909,,West Valley High,Main Valley Senior,North Bay College,Southern Bayou Composite
Lorenzo,Schwartz,255 Kingston Court,Western Terrace,72427,534,374,908,,Eastern Ocean Secondary,Main Delta Senior,Northern Bayou High,Main River College
Jerome,Everett,258 The Woodlands Avenue,Main Plateau,72400,511,397,908,,Eastern Ocean College,Eastern Terrace Secondary,East Valley Senior,North Bay High
Kenny,Buckley,873 Glen Burnie Drive,East Valley,72376,505,403,908,,South River High,Eastern View Composite,Central Ridge Senior,North-West Ocean Senior
Tomas,Burton,542 Weirton Avenue,Eastern Plateau,72440,470,438,908,,Eastern Ocean College,North Bayou High,Central Ridge Senior,Eastern Terrace Secondary
Issac,Figueroa,525 Evanston Road,Southern Bay,72424,462,446,908,,Main Plateau College,South River High,West Ocean Senior,South River Junior-Sec
Gauge,Rocha,23 Napa Avenue,Northern Ocean,72411,454,454,908,,East Valley High,Southern Bayou Composite,North Bay High,South Ocean High
Keagan,Hoover,20 Lake Forest Lane,Northern Plateau,72410,437,471,908,,Eastern Ocean Secondary,West Bayou Senior,South Ocean High,Western Ocean Secondary
Tony,Browning,210 Saginaw Drive,Northern Bay,72414,435,473,908,,Southern Bayou Composite,East River Senior,Main Bayou College,East Ocean Senior
Skylar,Diaz,644 Arlington Heights Road,South Ridge,72359,538,369,907,,North Bayou High,East Bayou College,South Ocean High,South River Junior-Sec
Maddox,Valencia,882 Rogers Lane,West View,72365,533,374,907,,West Bayou Senior,South Ocean High,East Ocean Secondary,Southern Ridge Secondary
Kolby,Holden,190 Taunton Road,East Valley,72376,529,378,907,,East Valley Senior,Northern River Senior,North-West Ocean Senior,East Ocean Secondary
Josiah,Newman,833 Owensboro Street,North Bayou,72353,496,411,907,,South Valley Senior,East Valley Senior,Central Terrace Secondary,Western Ridge High
Jax,Sparks,511 Highland Drive,South View,72355,450,457,907,,Central Ridge Senior,West Valley High,Northern Delta Senior,Main Valley Senior
Hector,Potts,861 Montebello Drive,Main Bayou,72403,439,468,907,,Eastern River Secondary,Eastern Plateau Senior,Eastern Ocean College,East River Senior
Alvin,Richard,750 Gardena Lane,East Bayou,72383,434,473,907,,Eastern View High,South Ocean High,East Valley High,Main Terrace Senior
Nikolas,Serrano,427 Hamilton Avenue,South Valley,72356,412,495,907,,Eastern Ocean College,Northern Bay College,Southern Plateau Secondary,Eastern Bayou Junior-Sec
Caiden,Fernandez,740 Winchester Court,Main River,72398,541,365,906,,Southern Bayou Composite,Eastern Plateau Senior,Eastern Ocean Secondary,Central Bay Secondary
Bryan,Dodson,219 Mount Prospect Street,Eastern Bayou,72443,541,365,906,,Eastern View Composite,Eastern River Secondary,South River High,South Valley Senior
Camryn,Hayes,181 Lodi Boulevard,East Bay,72384,515,391,906,,North Ridge High,South Ridge High,East Valley Senior,Eastern View Composite
Sean,Richard,4 Edmond Place,Northern Delta,72412,505,401,906,,North Bay High,North Ridge High,Southern Plateau Secondary,Southern Terrace Senior
Trenton,Mann,177 Pasco Lane,North Valley,72346,505,401,906,,North-West Ocean Senior,Eastern Valley Junior-Sec,Northern Ocean Secondary,Central Bay Secondary
Kolby,Levy,162 Flagstaff Drive,South Ridge,72359,501,405,906,,Northern Bay College,Eastern Bayou Junior-Sec,East River Senior,South River Junior-Sec
Case,Owens,579 Charlottesville Boulevard,East Ridge,72379,495,411,906,,East River Senior,North Plateau Secondary,Main Terrace College,East-Central View Composite
Gianni,Barton,592 New Britain Street,Western View,72425,487,419,906,,South Ridge High,Western Plateau Secondary,Main Delta Senior,Central Terrace Secondary
Mathias,Baird,678 East Los Angeles Court,Southern Plateau,72420,487,419,906,,Eastern River Secondary,East Valley Senior,East Plateau College,North Plateau Secondary
Kristian,Moran,434 Auburn Road,Eastern Ocean,72441,483,423,906,,North Plateau Secondary,East-Central View Composite,Main Ridge College,West Ocean Secondary
Marc,Hernandez,710 Wausau Street,Western Delta,72432,479,427,906,,North Bay High,Southern Terrace Senior,Northern View Junior-Sec,North Terrace High
Carlo,Crawford,744 Des Plaines Court,Western River,72428,478,428,906,,Central-North View High,North Valley Junior-Sec,East Bayou College,Eastern Ocean College
Alexis,Church,869 Sumter Place,Northern River,72408,470,436,906,,Southern Plateau Secondary,Southern Bayou Composite,North Bay College,South River High
Mike,Logan,930 Spring Hill Street,Central Valley,72386,451,455,906,,East-Central View Composite,Northern Ocean Secondary,Southern Plateau Secondary,Central Ridge Composite
Keagan,Melendez,357 Southaven Place,Northern View,72405,444,462,906,,North Terrace High,Central Bay Secondary,Northern Terrace High,Main Terrace Secondary
Jamie,Travis,904 Spokane Valley Place,Central River,72388,436,470,906,,Eastern Bayou Secondary,East Bayou College,Western Plateau Secondary,North Bay College
Jerome,Shields,129 Lehi Place,West View,72365,407,499,906,,North Plateau Secondary,East Ocean Senior,East Valley Senior,South Ocean High
Marc,Macias,282 Stamford Street,Northern Ocean,72411,549,356,905,,East River Senior,Eastern Plateau Junior-Sec,East Valley Senior,East Ocean Senior
Nikolas,Newton,140 Pottstown Avenue,Main Ridge,72399,530,375,905,,Eastern Ocean Secondary,West Ocean Senior,South River High,South View Composite
Grayson,Franklin,232 Union City Court,Main Ridge,72399,506,399,905,,Central Ridge Senior,North Bayou High,Northern Bay College,Western Ridge High
Karter,Davila,918 St. Augustine Avenue,Main Ridge,72399,499,406,905,,South Delta Secondary,East Valley High,Northern Ocean Secondary,Eastern View Composite
Reed,Patrick,33 Richmond Court,South Ridge,72359,498,407,905,,Main Terrace Senior,East-Central View Composite,West Bayou Senior,Main Bayou College
Kody,Campbell,20 Leominster Drive,West Terrace,72367,492,413,905,,North Bay High,South View Composite,Main Bayou College,Eastern Ocean Secondary
Issac,Schwartz,647 Brandon Place,West River,72368,492,413,905,,East-Central View Composite,Northern Bayou High,South Ocean High,East Ocean Secondary
Ruben,Lyons,44 South San Francisco Road,Southern Bay,72424,467,438,905,,Eastern River Secondary,North-West Ocean Senior,Main Terrace Senior,Main Plateau Composite
Leandro,Warner,48 Kirkland Avenue,Southern Terrace,72417,461,444,905,,Main Ridge College,Northern River Senior,East River Senior,North Terrace High
Gauge,Tanner,551 Los Lunas Avenue,Eastern Bay,72444,444,461,905,,Central Plateau Secondary,Main Ridge College,Western Plateau Secondary,West Ocean Senior
Maddox,Good,261 Eau Claire Place,Southern View,72415,412,493,905,,Eastern River Secondary,Northern View Junior-Sec,South Plateau Secondary,South Ocean High
Trenton,Conley,669 Cedar Park Boulevard,Eastern Plateau,72440,475,429,904,,Northern Bay College,Western Ocean Secondary,East Terrace Senior,Southern Terrace Senior
Josiah,Jackson,323 Grants Pass Drive,East Delta,72382,468,436,904,,Eastern Ocean Secondary,Main Plateau Composite,North Ridge High,North Valley Junior-Sec
Bryan,Ortiz,501 Ponce Street,Northern Valley,72406,442,462,904,,Eastern Bayou Secondary,East Terrace Senior,South River High,North Bayou High
Josiah,Compton,882 Eau Claire Street,Eastern Plateau,72440,415,489,904,,Southern Ocean High,South River Junior-Sec,Western Delta Secondary,Northern Delta Senior
Ruben,Russell,832 Corvallis Street,North View,72345,526,377,903,,North Terrace High,Western Ocean Secondary,East Ocean Senior,Main Terrace Senior
Tony,Vasquez,125 Medford Boulevard,Eastern Ridge,72439,492,411,903,,Central Ridge Composite,Main Valley Senior,Main Terrace College,Western Bayou High
Graham,Beltran,141 Dover Avenue,Main Ridge,72399,470,433,903,,North Bay High,Main River College,South Ridge High,West Bayou Senior
Parker,Hinton,94 Novi Court,Southern Bay,72424,429,474,903,,Western Delta Junior-Sec,South Ocean High,South Delta Secondary,Northern Ocean Secondary
Deandre,George,681 Cicero Court,Eastern Ridge,72439,415,488,903,,East Ocean Senior,Northern View Junior-Sec,South View Composite,East Valley High
Carl,Jackson,299 Milpitas Boulevard,West Ridge,72369,531,371,902,,East Ocean Secondary,West Ocean Senior,East Valley High,Western Ridge High
Gianni,Banks,109 Alameda Avenue,Eastern Valley,72436,427,475,902,,South Ocean High,Main Delta Composite,Main Valley Senior,Eastern View High
London,Callahan,327 Lebanon Place,Northern Bay,72414,423,479,902,,Northern Bay Senior,Western Ridge High,Eastern River Secondary,Main Valley Senior
Theodore,Mcintyre,695 Arcadia Place,Eastern Plateau,72440,539,362,901,,South Ridge High,Eastern Plateau Junior-Sec,Western Bayou High,Main Terrace College
Jayden,Hanna,799 Orem Place,Eastern Terrace,72437,489,412,901,,Northern Bayou High,Northern Terrace High,Main Plateau College,East Valley Senior
Alvin,Finley,260 Owensboro Drive,West View,72365,445,456,901,,West Ocean Senior,South Ocean High,East Bayou High,Main Delta Composite
Ishaan,Gallagher,761 Sumter Court,Eastern Plateau,72440,422,479,901,,Eastern Valley Junior-Sec,Main Terrace College,Eastern River Secondary,South Valley Senior
Leo,Browning,474 Winchester Boulevard,West Plateau,72370,420,481,901,,Western Delta Junior-Sec,Western Bayou High,East Valley High,East Bayou College
Marcelo,Shea,412 Wyoming Boulevard,Southern Ridge,72419,410,491,901,,Southern Plateau Secondary,Eastern Ocean College,North Bayou High,Eastern Ocean Secondary
Orlando,Byrd,417 South San Francisco Drive,Southern Plateau,72420,488,412,900,,Eastern Bayou Junior-Sec,Main Ridge College,East-Central View Composite,Central Plateau Secondary
Kenny,Murillo,277 Twin Falls Drive,East Ridge,72379,481,419,900,,Eastern View Composite,Northern Terrace High,Main River College,Western Plateau Secondary
Ruben,Hicks,94 Deerfield Beach Place,North Bay,72354,467,433,900,,East River Senior,West Ocean Secondary,Main Terrace Senior,East Ocean Secondary
Terry,Perkins,806 Baytown Lane,North Bay,72354,456,444,900,,Southern Bay College,Western Bayou High,Northern Valley Senior,East Ocean Senior
Deven,Moses,96 Pico Rivera Road,West Ridge,72369,435,465,900,,Eastern View Composite,East River Senior,Western Ocean Secondary,South River High
Giovani,Melendez,58 St. Joseph Court,West Ocean,72371,428,472,900,,Main Delta Composite,Main Delta Senior,North-West Ocean Senior,West Ocean Secondary
Harrison,Glover,481 Oak Lawn Drive,Southern Ridge,72419,546,353,899,,Western Plateau Secondary,Main Delta Senior,Southern Bayou Composite,Main Plateau College
Dillan,Knox,842 Sugar Land Drive,North View,72345,517,382,899,,East River Senior,North Valley Junior-Sec,Central-North View High,North Bayou High
Kadyn,Turner,761 Logan Avenue,Main Delta,72402,503,396,899,,East Bayou College,Main Terrace Secondary,East Ocean Senior,East River Senior
Eli,Campbell,503 Huntington Park Lane,Central Bayou,72393,490,409,899,,Eastern Ocean Secondary,South Valley Senior,Main Plateau Composite,Northern Bayou High
Edwin,Dixon,24 El Centro Place,East Valley,72376,482,417,899,,Eastern Terrace Secondary,Main River College,West Valley High,Central Terrace Secondary
Gavin,Berger,999 Middletown Avenue,Central River,72388,440,459,899,,West Ocean Senior,North Valley Junior-Sec,Central Bay Secondary,West Valley High
Alvin,Shields,149 The Hammocks Road,East Plateau,72380,415,484,899,,East Ocean Senior,Southern Terrace Senior,Main Terrace Secondary,South River Junior-Sec
Dayton,Bray,906 North Charleston Lane,West Bay,72374,530,368,898,,Main Delta Composite,Northern Bayou High,East Valley High,Eastern Bayou Secondary
Aditya,Cowan,732 Alpharetta Road,East River,72378,414,484,898,,Southern Bayou Composite,Northern Bay College,Main River College,Western Delta Secondary
Isaac,Livingston,510 Lakewood Road,Western Valley,72426,409,489,898,,Northern Bayou High,West Valley High,Main Terrace Secondary,North Valley Junior-Sec
Luka,Flynn,121 Vista Place,South View,72355,399,499,898,,South View Composite,West Ocean Senior,East Bayou College,South Ridge High
Theodore,Rogers,219 Sandy Springs Drive,West Plateau,72370,529,368,897,,Northern Valley Senior,Main Terrace Secondary,North Ridge High,Northern Bay Senior
Fabian,Collins,236 Cathedral City Drive,Central Valley,72386,519,378,897,,Central Terrace Secondary,Central Terrace Junior-Sec,Northern Ocean Secondary,Western Plateau Secondary
Johnathon,Schultz,975 The Hammocks Lane,Main Plateau,72400,515,382,897,,Eastern Terrace Secondary,Eastern Plateau Junior-Sec,Northern Terrace High,Northern Bay Senior
Aditya,Rivas,35 Hammond Avenue,Central Bayou,72393,499,398,897,,Southern Plateau Secondary,North Valley Junior-Sec,Eastern Bayou Junior-Sec,Central Ridge Composite
Kingston,Mcmahon,781 Largo Court,Eastern Ridge,72439,479,418,897,,East Bayou High,East River Senior,Main River College,Northern Bay Senior
Adam,Yang,804 Wesley Chapel Boulevard,Eastern Valley,72436,470,427,897,,South River High,Eastern Terrace Secondary,East Ocean Secondary,Main Delta Senior
Gauge,Hendricks,235 Racine Boulevard,Eastern River,72438,462,435,897,,Main Bayou College,East Bayou College,Western Delta Secondary,Western Bayou High
Dayton,Peterson,393 Berwyn Street,Central River,72388,460,437,897,,Western Bayou High,Central Ridge Composite,South View Composite,Main River College
Larry,Roman,172 Rochester Court,Main Ocean,72401,443,454,897,,East Ocean Senior,Southern Bayou Composite,West Valley High,Northern Delta Senior
Colt,Callahan,128 Prescott Valley Boulevard,Western Terrace,72427,417,480,897,,Central Terrace Junior-Sec,Main Plateau Composite,Eastern Ocean College,Main Terrace College
Isaac,Good,928 Rancho Cordova Court,West Ridge,72369,400,497,897,,Southern Ocean High,Main Plateau College,Eastern View Composite,Eastern Plateau Junior-Sec
Shaun,Sparks,550 Jupiter Boulevard,North Ridge,72349,538,358,896,,Main Bayou College,East Terrace Senior,Central Terrace Junior-Sec,Main River College
Lorenzo,Guerrero,394 Berkeley Boulevard,South River,72358,512,384,896,,East Valley Senior,Main Delta Composite,Central Ridge Composite,North Plateau Secondary
Jax,Bush,66 Richmond Drive,Southern Ocean,72421,477,419,896,,Northern Bay College,South Ridge High,Southern Ocean High,North Bayou High
Holden,Diaz,574 Alhambra Street,Northern Delta,72412,453,443,896,,East Valley High,North Terrace High,Eastern Ocean College,Main Ridge College
London,Ali,349 Anderson Road,Central Valley,72386,446,450,896,,South Plateau Secondary,Northern River Senior,Southern Ridge Secondary,Eastern Bayou Secondary
Alvin,Hodges,502 West Palm Beach Road,Northern Bay,72414,407,489,896,,South View Composite,West Ocean Secondary,Eastern View High,Northern Bay Senior
Derick,Anderson,818 Kirkland Avenue,Central Bay,72394,508,387,895,,Main Delta Composite,North Bayou High,Main Ridge College,South River High
Kolby,George,649 Highland Lane,Northern View,72405,519,376,895,,East Terrace Senior,Main Plateau College,Western Delta Junior-Sec,North Bay High
